,companyName,auxiliaryName,businessIdentityCode,registerNumberInHomeState,address,address2,businessAddress,locationOfHeadOffice,zipCode,city,homeState,telephone,telefax,wwwAddress,groups,personsInCharge,supervisorsInFSA,authorisationsAndOtherOperationGrounds,providedServices,funds,principalOfAnAgent,servicesDescription,dateOfRegistration,reprimands,businessZipCode,businessCity,tiedAgents
0,Aaland Mutual Insurance Company,,0145082-0,,PB 64,,,,22101,MARIEHAMN,Finland,(018) 27600,(018) 27610,http://www.omsen.ax,"[{'groupNumber': 3210, 'groupName': 'Non-life insurance companies'}]",[],"[{'name': 'Tiia Hartikainen', 'telephoneNumber': '+358 9 183 5522', 'role': ''}]","[{'authorisationName': ""Statutory workers' compensation""}, {'authorisationName': 'Health'}, {'authorisationName': 'Land vehicles'}, {'authorisationName': 'Railway rolling stock'}, {'authorisationName': 'Aircraft'}, {'authorisationName': 'Ships'}, {'authorisationName': 'Goods in transit'}, {'authorisationName': 'Fire and natural forces'}, {'authorisationName': 'Other damage to property'}, {'authorisationName': 'Motor vehicle liability'}, {'authorisationName': 'Aircraft liability'}, {'authorisationName': 'Liability for ships'}, {'authorisationName': 'General liability'}, {'authorisationName': 'Credit'}, {'authorisationName': 'Suretyship'}, {'authorisationName': 'Miscellaneous finalcial loss'}, {'authorisationName': 'Legal expenses'}, {'authorisationName': 'Reinsurance'}, {'authorisationName': 'Accident'}]",[],[],[],,,,,,[]
1,Äänekosken Tehtaitten sairauskassa,,0208603-9,,Kauppakatu 19 C,,,,44100,ÄÄNEKOSKI,Finland,040 195 5545,,,"[{'groupNumber': 3610, 'groupName': 'Employee sickness funds'}]",[],"[{'name': 'Raili Holmström', 'telephoneNumber': '+358 9 183 5527', 'role': ''}]",[{'authorisationName': 'Employee sickness fund is registered'}],[],[],[],,,,,,[]
2,Aarni Työkyky Oy,,3022268-3,,Mikonkatu 18 A 3,,,,00100,HELSINKI,Finland,,,,"[{'groupNumber': 3510, 'groupName': 'Insurance brokers'}]",[],[],[{'authorisationName': 'Insurance broker is registered'}],[],[],[],,,,,,[]
3,Ab Compass Card Oy Ltd,,2082853-4,,,,,,,,,,,,"[{'groupNumber': 4951, 'groupName': 'Removed from the register'}]",[],[],[],[],[],[],,,,,,[]
4,ABB Eläkesäätiö,,0200101-5,,PL 69,,,,65101,VAASA,Finland,+358 50 332 2490,,,"[{'groupNumber': 3420, 'groupName': 'Company pension funds'}]",[],"[{'name': 'Vesa Hänninen', 'telephoneNumber': '+358 9 183 5535', 'role': ''}]",[{'authorisationName': 'Company pension fund is registered'}],[],[],[],,,,,,[]
5,ABB:n vakuutuskassa,,0223485-5,,PL 615,,,,65101,VAASA,Finland,050 334 1377,,,"[{'groupNumber': 3610, 'groupName': 'Employee sickness funds'}]",[],"[{'name': 'Raili Holmström', 'telephoneNumber': '+358 9 183 5527', 'role': ''}]",[{'authorisationName': 'Employee sickness fund is registered'}],[],[],[],,,,,,[]
6,Aboa Venture Management Oy,,0871829-5,,Maariankatu 4 A 16,,,,20100,Turku,Finland,040-544 1250,020 752 8011,http://www.aboaventure.fi/,"[{'groupNumber': 4938, 'groupName': 'Registered Alternative Investment Fund Managers'}]",[],[],[],[],"[{'fundName': 'Aboa Venture III Ky', 'fundType': 'Suomalainen muu AIF'}, {'fundName': 'Länsi-Suomen Pääomarahasto Oy', 'fundType': 'Suomalainen muu AIF'}, {'fundName': 'Kasvattajarahasto Ky', 'fundType': 'Suomalainen muu AIF'}]",[],,2015-06-22T00:00:00,,,,[]
7,Åbolands fiskeriförsäkringsförening,,0216338-0,,Köpmansgatan 5,,,,21600,Pargas,Finland,+358400573474,,,"[{'groupNumber': 3220, 'groupName': 'Local mutual insurance associations'}]",[],"[{'name': 'Ilkka Nummelin', 'telephoneNumber': '+358 9 183 5067', 'role': ''}]",[{'authorisationName': 'Local mutual insurance association is registered'}],[],[],[],,,,,,[]
8,Access Capital Advisors Finland Oy,,0112087-2,,Yrjönkatu 9,,,,00120,HELSINKI,Finland,,,www.access-capital-partners.com,"[{'groupNumber': 4938, 'groupName': 'Registered Alternative Investment Fund Managers'}]",[],[],[],[],"[{'fundName': 'Selected Mezzanine Funds I Ky', 'fundType': 'Suomalainen muu AIF'}, {'fundName': 'Access Capital Private Debt Fund II Ky', 'fundType': 'Suomalainen muu AIF'}, {'fundName': 'Access Co-Investment Fund Buy-Out Europe Syöttörahasto Ky', 'fundType': 'Suomalainen muu AIF'}]",[],,,,,,[]
9,"ACE Europe Life SE, branch in Finland",,2126581-7,,Museokatu 8,,,,00100,HELSINKI,Finland,,,,"[{'groupNumber': 3350, 'groupName': ""Foreign insurance companies' representative offices in Finland (from EEA countries)""}]",[],[],[],[],[],[],,,,,,[]
10,Acquisition Helsinki Oy,,3101764-9,,Lohkopellontie 6 H,,,,00650,HELSINKI,Finland,040 198 5841,,,"[{'groupNumber': 3510, 'groupName': 'Insurance brokers'}]",[],[],[{'authorisationName': 'Insurance broker is registered'}],[],[],[],,,,,,[]
11,Ahtausalan sairauskassa,,1089964-6,,Huolintakatu 5,,,,20200,TURKU,Finland,010 229 2000,,,"[{'groupNumber': 3610, 'groupName': 'Employee sickness funds'}]",[],"[{'name': 'Raili Holmström', 'telephoneNumber': '+358 9 183 5527', 'role': ''}]",[{'authorisationName': 'Employee sickness fund is registered'}],[],[],[],,,,,,[]
12,"AIG Europe S.A., branch in Finland",,2922692-7,,Kasarmikatu 44,,,,00130,Helsinki,Finland,,,,"[{'groupNumber': 3350, 'groupName': ""Foreign insurance companies' representative offices in Finland (from EEA countries)""}]",[],[],[],[],[],[],,,,,,[]
13,AIM Capital Oy,,2623472-9,,Kalevankatu 17 A 1,,,,00100,HELSINKI,Finland,(09) 6813 9660,,www.aimcapital.fi,"[{'groupNumber': 4937, 'groupName': 'Authorised Alternative Investment Fund Managers'}]",[],"[{'name': 'Raija Railas', 'telephoneNumber': '+358 9 183 5235', 'role': ''}, {'name': 'Heidi Tähtinen', 'telephoneNumber': '+358 9 183 5314', 'role': ' (principal)'}]","[{'authorisationName': 'Portfolio Management'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Safekeeping and administration'}, {'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Alternative Investment Fund Management - Funds of funds strategy'}]",[],[],[],,,,,,[]
14,AirPay Digital Oy,,2319557-6,,Keilaniementie 1,,,,02150,Espoo,Finland,,,,"[{'groupNumber': 4930, 'groupName': 'Payment institution (no issuance of e-money)'}]",[],"[{'name': 'Anni Meriläinen', 'telephoneNumber': '+358 9 183 5050', 'role': ''}, {'name': 'Juha Eerikäinen', 'telephoneNumber': '+358 9 183 5322', 'role': ''}]",[{'authorisationName': 'Authorization (Payment Institution)'}],"[{'serviceName': '1 Services enabling cash to be placed on a payment account as well as all the operations required for operating a payment account'}, {'serviceName': '3a) Execution of payment transactions, including transfers of funds on a payment account with the user’s payment service provider or with another payment service provider: execution of direct debits, including one-off direct debits'}, {'serviceName': '5a) Issuing of payment instruments'}, {'serviceName': '2 Services enabling cash withdrawals from a payment account as well as all the operations required for operating a payment account'}, {'serviceName': '3b) Execution of payment transactions, including transfers of funds on a payment account with the user’s payment service provider or with another payment service provider: execution of payment transactions through a payment card or a similar device'}, {'serviceName': '3c) Execution of payment transactions, including transfers of funds on a payment account with the user’s payment service provider or with another payment service provider: execution of credit transfers, including standing orders'}, {'serviceName': '4a) Execution of payment transactions where the funds are covered by a credit line for a payment service user: execution of direct debits, including one-off direct debits'}, {'serviceName': '4b) Execution of payment transactions where the funds are covered by a credit line for a payment service user: execution of payment transactions through a payment card or a similar device'}, {'serviceName': '4c) Execution of payment transactions where the funds are covered by a credit line for a payment service user: execution of credit transfers, including standing orders'}]",[],[],,,,,,[]
15,Aito Savings Bank Ltd,,2286574-2,,Kauppakatu 14 B 8,,,,33210,TAMPERE,Finland,"03 4584 0110
",,www.saastopankki.fi,"[{'groupNumber': 1150, 'groupName': 'Limited-liability savings banks'}]",[],"[{'name': 'Kristiina Lehtola', 'telephoneNumber': '+358 9 183 5324', 'role': ''}]","[{'authorisationName': 'Authorisation (credit institution)'}, {'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Execution of orders'}, {'authorisationName': 'Dealing on own account'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Granting credits or loans to investment services'}, {'authorisationName': 'Foreign exchange services related to investment services'}, {'authorisationName': 'Safekeeping of financial instruments'}]",[],[],[],,,,,,[]
16,Aktia Bank plc,,2181702-8,,PB 207,,,,00101,HELSINGFORS,Finland,010 247 5000,010 247 6356,http://www.aktia.fi,"[{'groupNumber': 1110, 'groupName': 'Commercial banks'}]",[],"[{'name': 'Kristiina Lehtola', 'telephoneNumber': '+358 9 183 5324', 'role': ''}]","[{'authorisationName': 'Authorisation (credit institution)'}, {'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Execution of orders'}, {'authorisationName': 'Dealing on own account'}, {'authorisationName': 'Portfolio management'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Placing of financial instruments without a firm commitment basis'}, {'authorisationName': 'Granting credits or loans to investment services'}, {'authorisationName': 'Foreign exchange services related to investment services'}, {'authorisationName': 'Safekeeping of financial instruments'}, {'authorisationName': 'Other services related to investment services'}]",[],[],[],,,,,,[]
